skew_confidence,distance_closest_building,road_area,car_area,car_area_quantile,road_area_quantile,abs_slope_diff_huber,skew_confidence_quantile,distance_closest_building_quantile
7,20.43968110722133,12450.5,6368.5,D2,D1,0.4558284624684382,D2,D10
4,8.551014006385182,265027.5,59498,D5,D9,0.8487545341077269,D1,D3
27,9.087037095286242,212713,6356,D2,D6,0.7513874517027119,D6,D4
1,28.57650273858763,269739,1159,D2,D9,0.1128917854276403,D1,D10
18,8.971011689414583,251424,74085.5,D6,D8,0.016513081487601222,D4,D3
28,11.165607739063026,216911,124244,D8,D6,0.3300880727554507,D6,D7
116,9.991429373220758,208142.5,45901.5,D4,D6,2.515826205,D10,D5
4,11.63244992457446,313872,33726,D3,D10,2.5799205773873144,D1,D8
70,10.311761362288197,297657.5,98,D1,D10,0.70001018,D9,D6
52,9.084366532,192664,110736,D8,D5,1.3331461480699955,D8,D4
115,10.157937427879183,253001.5,24493,D3,D8,0.9170426348350856,D10,D6
43,9.134636795801317,86514.5,206398.5,D10,D1,0.23380314903962351,D7,D4
34,11.96885243624502,232651,125760,D8,D7,0.23277668990807887,D6,D8
14,9.312989124874106,94037,76777.5,D6,D1,0.8409570260944872,D4,D4
20,11.71819584088814,310662,43427,D4,D10,0.24751597487256402,D5,D8
38,12.341214342161448,233730.5,2267.5,D2,D7,0.7108875894362869,D7,D9
6,11.914500071116915,179150,25488,D3,D4,0.5134437257862755,D2,D8
3,9.820152497519908,301769,5642,D2,D10,1.0784645246874167,D1,D5
99,8.914877643278773,129653,128653.5,D8,D2,0.1977996917605833,D10,D3
154,9.970995670975858,208389.5,30838.5,D3,D6,0.25582774013003995,D10,D5
2,14.695949977435973,389191,9275,D2,D10,1.1534343963388924,D1,D10
32,9.881698066446145,225076,77692.5,D6,D7,0.5241296922994452,D6,D5
19,10.370266520868457,251757.5,8049,D2,D8,0.4532960162113495,D4,D6
46,9.217958335737643,189571.5,157244.5,D9,D4,0.02682761,D8,D4
18,14.469202881092617,374976,16654,D3,D10,0.7149507645815045,D4,D10
10,11.594755777553072,231104,139542,D9,D7,0.076377244,D3,D8
17,11.580028507252363,304695,0,D1,D10,0.5110400354898939,D4,D8
49,9.267331714521646,215212,34494,D4,D6,0.6279231430208692,D8,D4
15,12.454825098760312,291128.5,14842,D2,D10,0.3145536536289567,D4,D9
121,8.522254129332214,251987.5,83740.5,D6,D8,0.013802117636144196,D10,D3
43,9.02093302,270076,101628.5,D7,D9,0.2970709071413775,D7,D4
7,11.788994044603497,354469,20677,D3,D10,0.3054999057836454,D2,D8
13,11.17277268424067,200492,145782.5,D9,D5,1.6243560151037024,D3,D7
117,8.539641443390932,191959,123039.5,D8,D5,0.5592441312701575,D10,D3
8,9.175171216948405,198121.5,27008,D3,D5,1.5506688818103913,D2,D4
9,11.829043592143604,184874,121560.5,D8,D4,0.32265526243308074,D3,D8
99,8.791250901403059,235573,61072,D5,D7,0.7982024588964012,D10,D3
10,11.304168721783762,128316.5,76172.5,D6,D2,0.8912864027484622,D3,D7
37,4.918414601,157096,0,D1,D3,0.4244882171615777,D7,D1
10,9.032911487912388,177524.5,150513,D9,D4,1.860947728967446,D3,D4
119,10.054234294765966,241423.5,26138,D3,D8,0.8077387364942253,D10,D6
9,9.126147751487776,241729,97654,D7,D8,0.3907830681315714,D3,D4
5,5.106975331711241,166296.5,0,D1,D3,2.3459644859044135,D2,D1
17,15.981153646135269,117491,79670,D6,D2,2.495087274272213,D4,D10
15,9.887723459209855,208011,0,D1,D6,0.8078338964000786,D4,D5
9,15.962454443385557,252087,30543,D3,D8,0.18467025632234457,D3,D10
108,13.088464609824694,303373,4651.5,D2,D10,1.911358382351768,D10,D9
93,11.972780541040684,277718.5,27479.5,D3,D9,0.062299568487400994,D10,D8
3,12.072658647476471,181229,44985.5,D4,D4,1.4076328537570042,D1,D9
171,12.07431225765368,237715.5,60955.5,D5,D7,0.067229806,D10,D9
6,18.55514857600713,363305,0,D1,D10,0.1924728945606767,D2,D10
46,13.57572418376705,219356.5,61697.5,D5,D6,1.319384779911478,D8,D10
185,9.585331987980451,148872,37453,D4,D3,0.7776993552127409,D10,D5
45,10.846315355991592,149869.5,1600,D2,D3,1.0725236511717882,D8,D7
12,8.614756368,146357.5,83012.5,D6,D3,0.17511298065229264,D3,D3
4,8.362026125609098,225121,2394,D2,D7,0.9216207613562439,D1,D3
3,16.39059312517238,238011,0,D1,D7,0.632545083,D1,D10
27,19.247240306083537,199313.5,84621.5,D6,D5,0.7377404236532255,D6,D10
31,11.080244371113022,133285,90202.5,D6,D2,0.2777259759630265,D6,D7
5,7.315263517512475,197186,47136,D4,D5,0.6700208724565604,D2,D2
18,19.75139403224858,238418,32249,D3,D7,0.9753211048515652,D4,D10
21,9.959513956594757,212455.5,0,D1,D6,0.21841762511728252,D5,D5
108,10.074256072190366,277027.5,48913.5,D4,D9,0.2848655834197248,D10,D6
17,8.830365443325377,166309,0,D1,D3,0.1142387706018228,D4,D3
29,11.821766817796634,337145,27926,D3,D10,1.397494850966626,D6,D8
84,7.005405788114193,145531,0,D1,D3,0.8454802428195771,D9,D2
115,13.947530165795964,320475.5,36960.5,D4,D10,0.10633665821229532,D10,D10
31,13.654471390889318,215435,6012,D2,D6,0.4440253448949676,D6,D10
6,12.73127157024385,348913,0,D1,D10,1.3180489757871645,D2,D9
28,8.977450214,141710,135044,D9,D2,0.1129536673204885,D6,D4
33,10.632768846557068,190866,82681.5,D6,D5,0.9446548969573977,D6,D7
17,14.229896168041751,2514,3175,D2,D1,8.570638462457099,D4,D10
19,11.298077653902194,197910.5,138351,D9,D5,0.20627851622261195,D4,D7
20,11.963624327549686,230242.5,64055,D5,D7,0.7348161825941112,D5,D8
188,9.855893055250013,318734,29741,D3,D10,0.8377607273378759,D10,D5
60,7.502366452,218740.5,134661.5,D9,D6,0.837694055,D8,D2
6,11.801033003368715,235614.5,28632.5,D3,D7,0.23558983149876295,D2,D8
68,10.645722643174372,234384.5,7620,D2,D7,1.0430481374992575,D9,D7
57,10.14963904621691,222463.5,95504.5,D7,D6,1.3038873915720899,D8,D6
31,10.473886777691348,160431.5,108340,D7,D3,0.4194445326003756,D6,D6
25,9.206791512,185132,159923.5,D9,D4,0.2060924788455641,D5,D4
60,12.905294798957744,180558,2296,D2,D4,0.9743067819173922,D8,D9
101,11.975752670360064,255969.5,18082,D3,D8,0.7781556891458195,D10,D8
18,9.944530256661688,245655.5,18466,D3,D8,1.6520630034912958,D4,D5
14,11.60410646657582,261077,120159,D8,D9,0.4283134433431169,D4,D8
53,12.40480899244946,76732,0,D1,D1,0.2544168306094621,D8,D9
31,10.458821521703303,318813,0,D1,D10,0.29574394821098404,D6,D6
2,11.590736625946548,55990,137686.5,D9,D1,1.5668749866553853,D1,D8
39,12.180578749498656,226783,0,D1,D7,0.960242895,D7,D9
31,13.098059534087977,115698,35809,D4,D2,0.8146591486503492,D6,D9
170,3.187349855449567,1287,0,D1,D1,0.075004949,D10,D1
39,8.750821747635126,111970,156075.5,D9,D2,0.743844404,D7,D3
8,9.851996086,194945.5,154294,D9,D5,0.32263761875751285,D2,D5
4,10.95874714365372,282189,37246,D4,D9,0.6154625386658732,D1,D7
48,12.94295544546545,399638,0,D1,D10,0.9073534012893798,D8,D9
9,11.620638906419163,263480.5,81608.5,D6,D9,1.873003013488667,D3,D8
1,11.25593771563911,114487,30325,D3,D2,0.43459321996289935,D1,D7
46,6.020355536554437,81189,192493.5,D10,D1,0.005302691,D8,D1
11,9.448759923409357,133482,144837.5,D9,D2,0.6287199853910515,D3,D4
52,11.84059781826388,273115.5,61457,D5,D9,0.035668621,D8,D8
29,10.099546701374033,288935,95130,D7,D10,1.5381906865601476,D6,D6
23,11.01677242765561,166183,133220,D9,D3,0.6571709267801548,D5,D7
29,10.406633170454112,288371.5,18214.5,D3,D10,0.2774067075039081,D6,D6
59,10.235080349401372,248892.5,10993.5,D2,D8,0.821908814,D8,D6
83,11.209264658435162,180142.5,108885.5,D7,D4,0.11242451212156532,D9,D7
18,10.317501733731095,71331,98457,D7,D1,0.11877209178707715,D4,D6
16,14.61192214,184419,9096,D2,D4,0.20608471822120739,D4,D10
23,11.046152178531784,306509,1681,D2,D10,0.017639713838609294,D5,D7
53,4.8670527417880045,192457,15903,D2,D5,0.41644501013531615,D8,D1
88,9.231736540870116,143242,110629.5,D8,D2,0.7950531601287105,D9,D4
15,10.45358782737449,253883.5,50317,D4,D8,0.080128869,D4,D6
109,9.635040936746556,139072.5,128243,D8,D2,0.041093638277431496,D10,D5
13,13.167801912071738,219127,122359.5,D8,D6,0.6305547379621209,D3,D9
17,12.937680674501491,231398,111295,D8,D7,2.397395280242493,D4,D9
65,7.618584028649133,70870.5,168621,D10,D1,0.4574687758859405,D9,D2
92,10.670839047639044,247344.5,39255,D4,D8,0.3716301928323642,D10,D7
4,10.382908445343173,113552,192574,D10,D2,0.5126181486727981,D1,D6
21,10.882476420984933,227761.5,97037,D7,D7,0.48523800240431303,D5,D7
33,11.15976476164226,299194,103265,D7,D10,0.6955220816175354,D6,D7
53,10.434535598877432,159837.5,128482,D8,D3,1.4114351069353588,D8,D6
4,26.352843950092392,74345,10529,D2,D1,1.7959725436713636,D1,D10
30,10.471190964575332,182179.5,144873,D9,D4,0.627188175,D6,D6
1,11.49063308067558,162984.5,394,D1,D3,1.4494328173741309,D1,D8
35,11.71172219267859,213314,129298,D8,D6,0.12475533007041917,D7,D8
14,12.216449220502122,314557.5,20704.5,D3,D10,0.5053028089109473,D4,D9
10,20.80353715296741,345482.5,24699,D3,D10,2.124635761951351,D3,D10
13,12.173365404282944,155787.5,141242.5,D9,D3,2.7884763317685732,D3,D9
23,10.754327938725933,265991.5,127.5,D1,D9,0.9412650030915296,D5,D7
120,10.70235480459568,316449.5,54621.5,D5,D10,1.6350013921659663,D10,D7
36,6.805193835,228890,128836,D8,D7,0.7531834022804964,D7,D1
37,9.709668335087931,164154,167063,D10,D3,0.35177731361346404,D7,D5
9,10.55620132276514,252398.5,62855.5,D5,D8,0.4601545795822065,D3,D6
42,9.915102039269668,70839.5,234099.5,D10,D1,2.150650896627738,D7,D5
91,10.099565917906776,229925.5,69496,D5,D7,0.6193922680696244,D9,D6
46,7.731632248001365,199145.5,20192.5,D3,D5,0.19145923107789403,D8,D2
61,13.45074093633391,251736,34380.5,D4,D8,1.1646771529802418,D8,D10
26,11.712775612168604,249488.5,131198,D8,D8,2.316719348666473,D5,D8
14,13.053934112551614,337888.5,17441.5,D3,D10,0.32014580308068097,D4,D9
20,16.767155331840822,233544,0,D1,D7,0.9892550854229607,D5,D10
75,6.711020160828407,348244.5,4002,D2,D10,0.8524767132117046,D9,D1
90,12.50796790123199,189023,25868,D3,D4,0.15356507784776008,D9,D9
9,10.051933014232334,149503,120343.5,D8,D3,1.3119633234613308,D3,D6
21,9.475272498811323,178793.5,95193.5,D7,D4,0.27635274704106627,D5,D5
7,11.216750545241505,220865,30736.5,D3,D6,0.6748874633232469,D2,D7
30,12.073129005879691,242356.5,121938,D8,D8,1.7301890003409641,D6,D9
47,12.22319394963312,201313,36168.5,D4,D5,0.081280804,D8,D9
