length,GT,post_huber,slope_30m,GT_relief,post_huber_relief,slope_30m_relief
141.306,0.428686828,0.990091027,0.36691283,1.057270742,2.44205998,0.904912954
204.536,0.14694346,0.504310452,0.376787222,0.524563829,1.80034738,1.345084451
89.977,0.632322347,1.051540509,0.44160394,0.993036105,1.651519283,0.693506309
52.3,1.016626765,1.409783107,4.73176578,0.928081628,1.28711993,4.329036068
124.007,1.146473413,1.434546715,0.829467974,2.481678535,3.105482079,1.795368218
94.182,1.806133991,3.747808938,1.761608751,2.96988155,6.169397314,2.896620586
119.837,0.982346139,1.57987351,1.214995561,2.054827628,3.305222505,2.541605209
45.543,0.666842903,0.051831277,0,0.530080888,0.041199413,0
207.542,1.061232544,0.50575004,1.175762873,3.844532994,1.83202152,4.259553479
104.488,0.101380864,0.140703936,0.09599613,0.184884382,0.256596604,0.175064431
122.911,0.119972079,2.032109513,0.299280201,0.257364676,4.361113433,0.642022215
97.294,0.980930199,0.298762043,0.972308967,1.665880967,0.507332615,1.651236992
52.912,0.753579582,0.209515991,3.857334946,0.695962295,0.193486494,3.567596471
207.571,1.119749133,0.618728501,1.010489285,4.05714077,2.241615131,3.661177537
193.402,0.611357047,1.090092549,0.54844212,2.063715061,3.680053272,1.851323842
94.247,0.700829708,1.764835438,0.338698678,1.152866622,2.903932372,0.557138875
128.41,0.659844903,2.517805063,0.594402595,1.478894795,5.646482593,1.332209393
138.436,1.765323406,3.089981468,1.301225094,4.266661067,7.473148573,3.14451387
177.535,0.090225756,0.948003356,0.160807867,0.279571078,2.937723115,0.498275788
53.424,1.286497956,6.670363512,1.155857742,1.199764104,6.247864189,1.077896536
194.941,1.206730324,1.560237139,1.170426453,4.106340945,5.309804563,3.982768847
480.08,0.065032879,0.00250857,0.136565399,0.544909209,0.021019252,1.144280459
179.452,0.398172214,0.596716368,1.565223629,1.247106697,1.869000096,4.903544504
334.561,0.800683308,0.974795545,6.065948402,4.675647134,5.692566633,35.55316465
49.702,0.50876641,1.656801078,0.335864102,0.441347913,1.437615256,0.291353201
141.212,0.395083673,0.910584048,0.361770642,0.97374432,2.244427472,0.891636963
146.244,1.385800357,2.046691408,1.390633739,3.53786122,5.226278752,3.550205379
162.343,1.722089988,3.104330399,3.386394918,4.880873823,8.804488477,9.606266951
140.491,1.720972063,1.093400507,2.125833238,4.221145536,2.68137692,5.215001219
109.388,0.976927844,1.752446951,0.90792895,1.865312612,3.34678171,1.733545589
122.821,0.426862749,0.93526583,0,0.915053083,2.005042766,0
104.836,0.5105786,0.848229239,1.51633767,0.934247435,1.552146744,2.775141576
63.263,0.306455827,0.173525148,0.381945806,0.338375706,0.191597969,0.421730809
104.174,0.98266596,1.271607317,1.077797675,1.786838104,2.312389772,1.959860594
157.046,0.837669918,1.655801899,0.844493993,2.296191532,4.539766849,2.314900146
66.028,1.207231195,0.960815631,1.332659205,1.391426386,1.107353499,1.536041469
275.807,1.713793934,1.826656112,0.900087635,8.252220043,8.796028372,4.33314454
73.21,1.291089924,0.553084917,0.680265436,1.64997659,0.706729272,0.869253779
145.115,1.687779257,1.359842388,1.706158276,4.275933687,3.444766615,4.322523722
85.258,0.636183561,2.931916124,0.661466116,0.94670092,4.366599425,0.984327017
117.926,0.372296415,0.5656192,0.663546818,0.766270139,1.164193545,1.365771113
304.625,1.657548515,1.851488568,1.681445148,8.815162849,9.847254211,8.942322231
104.547,1.648059297,2.447909386,0.725626147,3.008025915,4.469393972,1.324113112
207.485,1.022045916,0.567577506,1.132024866,3.701523808,2.055433612,4.099931068
146.334,0.290892332,1.309355855,0.296436989,0.742948339,3.344690353,0.757109821
332.887,1.136252566,1.825299499,2.782059401,6.602463648,10.60853208,16.17640832
84.496,0.549737802,2.13188706,0.542225275,0.810741579,3.145416774,0.799661599
285.09,0.91476976,0.858034179,0.686504598,4.552060802,4.269690615,3.416045021
413.764,1.604290401,1.161577744,0.526521202,11.58848257,8.389534359,3.802403128
131.651,0.517760186,0.565159694,0.555234258,1.189712442,1.298634081,1.275825798
64.541,1.712261105,0.382008007,2.391645967,1.929355974,0.430320424,2.695642474
207.883,1.207698771,1.341372222,1.023464786,4.382473438,4.86771347,3.713773757
146.425,0.427155914,0.663451452,0.496913918,1.091659178,1.695591224,1.269944234
59.425,0.27961914,1.262480143,0.002150601,0.290012623,1.309608267,0.002230521
668.585,1.026092454,2.995814754,6.429105614,11.97476289,34.99008349,75.33775007
176.379,0.265976989,1.87447982,0.263083884,0.818787922,5.772447573,0.809881615
207.437,1.278166522,0.865354774,1.122205624,4.628316826,3.133219412,4.063418663
146.332,1.668963544,1.972130992,1.756578256,4.263697476,5.038763694,4.487663404
94.493,0.114891312,2.280029799,14.14423611,0.189480611,3.762243124,23.81257385
139.396,0.658309415,0.834267237,0.51459435,1.601684073,2.029848202,1.252000119
148.054,1.763927276,2.781237855,2.142335411,4.559481176,7.192451501,5.538439768
90.176,0.707902204,0.42956431,0.466214858,1.114201396,0.676090235,0.733776891
104.948,0.070982579,1.795659699,1.487685675,0.130018014,3.290165858,2.725588754
77.282,0.55354872,0.741355132,0.350817406,0.746663779,1.000014406,0.473197325
86.65,1.018694739,0.609525239,0.821784357,1.540762726,0.921836738,1.242892555
93.59,1.082819417,0.765662803,1.290206786,1.768945931,1.250749151,2.107849272
73.084,0.221364572,0.046229304,0.284036295,0.282364408,0.058968098,0.36230729
105.253,1.743050016,1.328889086,1.796061025,3.202990926,2.441622227,3.300465707
207.519,0.212933192,0.770977291,0.346555558,0.77122411,2.792563344,1.255201353
