skew_confidence,correction_applied,corrected_filename,road_slope,road_intercept,road_angle,road_area,perspective_angle,diff_1m,slope_1m
8,FALSE,,0.00174076,664.6720178461442,0.099738096,322765,90,0.055511724255776315,0.15524982
45,TRUE,sSRYBPkEf5QDNEhKVIevLQ_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.095236174,869.1984822833315,-5.440222925,112251,90,-0.153956477,5.088291487
33,FALSE,,0.025689433,839.8286413,1.4715724494247222,169316,90,-0.07490013,1.289217365
19,FALSE,,-0.000456261,915.6925359914934,-0.026141843,104756,90,-0.331893798,0.500926077
23,TRUE,qYKUFM70At2mySi_yG4OUw_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.024675491,648.0055538661787,1.4135146293052088,340300,90,-0.265892242,1.311728085
15,FALSE,,-0.032973655,732.4180463990422,-1.888566992,291014,90,-0.242056705,0.718026787
79,TRUE,X52ZutEP6dR80xkSqnSU_Q_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.042310749,782.8152828763492,-2.422782261,237569,90,0.089604231,2.474551367
14,TRUE,Y40uZs4jO_jin7eRVgHqYQ_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.153706383,927.4857918,-8.738338954,46875,90,0.038156842990458184,3.121629912
21,TRUE,pn7dbMLwCh4olk8IP6c58w_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.025190501,862.4213376009056,-1.443004217,24956,90,0.036253137748800235,1.09552353
3,FALSE,,0.037012623,776.7442366658357,2.1196994690750275,108655,90,-0.15019066,1.197767496
25,TRUE,4tlr3vImP2EZOXNerGz79w_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.1449239670463442,729.9907224347269,8.246120522037563,45478,90,0.37309265472631914,8.559064876
23,TRUE,57w2L2dl7RxniE0AL5fpDA_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.018186508,773.7917339625571,1.0418953197257608,215416,90,0.2100464251291455,0.79359173
22,TRUE,RqRzjdvxpYF8-LpkYsOpTw_Direction_270_FOV_90_aspect_10--10_raw_corrected.png,-0.018096173,619.7802230258519,-1.036721164,337129,270,-0.432464844,0.604256321
323,TRUE,jhKQfOMQN9L2juv97UC-XA_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.006715507,994.6076516076516,-0.384764408,313,90,0.26227561778672687,0.647040026
95,TRUE,gr6sDjjWyCVfBKqCn5E_hg_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.059685613,763.3101887458697,3.4156815796881057,185208,90,0.28826613056470096,3.540605857
50,TRUE,Tr21wl2gTIuuDlHSeav6Hw_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.119154581,902.9209591,-6.795017299,156158,90,0.44537389620789103,7.47048318
48,TRUE,5LTr0-iyfTz0dP73KrKpOQ_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.042867752,835.9564688214645,-2.454638441,184701,90,0.21341279302231664,3.760709021
63,FALSE,,-0.008086706,823.6294610524964,-0.463324016,180701,90,0.014914990574366127,0.266867221
31,TRUE,hLmtZLW7xg44TelqASShgQ_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.013593693,802.2429563203375,0.778813246,121942,90,0.24440595380805963,1.645874078
22,FALSE,,0.005346841,683.8075134032248,0.3063485197225539,307783,90,-0.321897188,0.248291304
34,FALSE,,0.00984961,854.6468177616156,0.5643228442548003,181209,90,-0.19847848,0.375913648
41,TRUE,PtJXO1b_vRXpffUr8E4zeA_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.05323045,780.6675401654363,3.047004417465621,86632,90,0.11714174606836147,3.076591622
33,TRUE,PB2KD7NRN8_OOnZZoiXxiQ_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.016268457,941.9942207,-0.932031722,69467,90,-0.255003003,0.67702872
30,TRUE,Lqat7AFoRJtpcTbxRAgxQg_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.059703918,984.8947662566836,-3.416726681,62671,90,-0.029934816,2.957848599
159,TRUE,RrfDXbO0gQd-qqhQTUFwCg_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.000671207,620.4341227876323,-0.0384573,368508,90,0.4814858871628463,0.551232078
11,TRUE,xkPP3UK5tDgoQIG2kADk2A_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.117348564,781.1587943900277,6.692967208,99258,90,0.48770485827227894,5.237223198
80,TRUE,eIg7uZliaPeXqJJ0D3nZJg_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.025188824,883.7582103103064,-1.442908221,54107,90,-0.093882897,1.151127208
122,FALSE,,0.000659925,773.2614174608083,0.037810929,227840,90,0.26971575544504195,0.307526685
4,TRUE,KNQKBKcv5-ShZjn3tRuSwA_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.017318046,776.6239170198536,0.9921517604437828,196758,90,-0.023828613,1.756867983
21,FALSE,,-0.001377443,832.2840017134201,-0.078921648,168607,90,0.44804375747768477,0.52519952
7,TRUE,ZZ9fSplVl8w8L4RG0l4GGg_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.060557637,783.9025407185117,-3.465464911,194435,90,0.4105315974471804,4.506919084
20,TRUE,xtceA0AEkFi9pUhewHcJKQ_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.00064557,743.4992857053949,0.036988416,248039,90,0.34070619912424177,0.773545687
8,TRUE,-KhVRnhNyLC9auFYLTkTgg_Direction_270_FOV_90_aspect_10--10_raw_corrected.png,0.01076269,603.0585578,0.6166329054217567,178258,270,0.037972582,0.654605487
18,TRUE,IOWf4SrRXIewTdqcddIGDw_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.01010687,823.4693429975914,0.5790612607595894,170723,90,0.089449837,0.488088082
146,FALSE,,-0.016869522,852.1763526502357,-0.96646075,182764,90,-0.363654683,0.150928631
19,TRUE,YxrHtVlnhNwqT6moVnmxKQ_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.078565978,745.2971634187479,4.4922711249149785,174819,90,0.41511997295429914,4.907391098
6,TRUE,vZvx7ecEoLA2hjfX6ndCEA_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.000968412,733.6704646206473,0.055485897,226891,90,-0.441485284,0.207797122
138,TRUE,pkJHPfU5ym2mvykNNn_Tvw_Direction_270_FOV_90_aspect_10--10_raw_corrected.png,-0.136026152,759.2824667,-7.746181734,297765,270,0.49274267778517444,8.238924412
35,TRUE,1tjW9pXCLH7Aj5EjRez1lQ_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.145912434,941.9960454417736,-8.301582649,128325,90,0.095275625,8.10473806
12,TRUE,l1SVo6fw0CqFYJSFPIdlDg_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.128608606,993.2105548603324,-7.328502102,10602,90,0.44697845994749397,7.829119412
32,TRUE,ROcU_bYuzpxrzqyvO4KRXg_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.003692174,793.6537932392841,0.2115450306514284,143752,90,0.24095014756026503,0.452495178
163,TRUE,w9bywHa5kXnfOC4FL9ub1A_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.065058615,750.7427748095677,3.722338198799742,87882,90,-0.461120916,2.599885987
152,TRUE,T-SypAMlKLUSWQT-KuQfNQ_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.008579633,980.9860727874247,0.4915647031556466,82889,90,-0.331724616,0.220343548
28,TRUE,mQL9_-yCuxRHAlhgia_hoQ_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.020798326,806.7007583,-1.191484516,72239,90,-0.258854534,0.5975962
29,FALSE,,0.001699772,728.3618334862668,0.097389668,197479,90,-0.48802575,0.409531168
6,FALSE,,-0.000516723,919.0996971424956,-0.029606016,204697,90,0.1937998197247766,0.266532094
25,FALSE,,0.002209992,803.262665,0.1266229843484013,75416,90,0.3060373266449872,0.598135274
84,TRUE,8TfiyDwR0VtCIO5TcMlgiA_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.056998064,767.0399113447313,-3.262218798,261088,90,0.37062048234829703,2.901415136
46,FALSE,,0.012165228,665.3169055931515,0.6969818197675545,242882,90,-0.490614933,0.202676383
16,FALSE,,0.001204666,806.0969553216335,0.069022259,193046,90,0.20608471822120739,0.275106977
65,TRUE,FAwxGwAiqSQLevTvrmzEfg_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.032438655,691.8658208454318,-1.857946508,59240,90,-0.324021362,3.042756104
65,FALSE,,0.008417074,770.3958035,0.4822514015545496,154502,90,0.21938944512527528,0.461652513
51,FALSE,,-0.027047753,813.9807461044554,-1.549344327,141493,90,0.10402075654246046,0.902388257
41,TRUE,BkVDGZ0Pp5w120jSjZ-U6A_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.002670478,810.6817604275516,0.1530067506695845,40946,90,0.3072178302308577,0.740883054
19,FALSE,,-0.031715457,822.4706341431249,-1.81655295,194050,90,-0.491252995,0.70222485
16,FALSE,,0.078510526,432.6970158380452,4.489113413197296,19046,90,-0.46754868,1.792010925
33,TRUE,UPah5UrhD9ogQggQWuXrzw_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.020659339,657.5057892965641,1.1835245807905643,330758,90,-0.316906965,1.320253126
76,TRUE,f1LOhGyEkkEivbBH933FOw_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.000101244,778.2759201453038,-0.00580085,221394,90,0.042425769573545824,0.512844263
92,FALSE,,0.000713624,677.6996197171837,0.040887641,310339,90,0.33473604805770535,0.411322863
20,TRUE,Ry0DRb8Y-MzgAkciJdGBfQ_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.046631762,847.9077557611238,-2.669869045,196164,90,-0.350973491,2.314382197
32,FALSE,,-0.002154152,854.1376078312309,-0.123423626,140319,90,0.12922346156915931,0.611378902
11,TRUE,9R42jePKmNG-HXLwlZTeGQ_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.010946031,795.7284836413544,-0.627136349,210265,90,-0.227241138,0.997150328
7,FALSE,,5.542882339498912e-05,665.1722763870781,0.003175838,339668,270,0.271195318,0.274371155
41,TRUE,_LRZOiLpbRmXHCUAjIruVA_Direction_270_FOV_90_aspect_10--10_raw_corrected.png,0.051946865,668.3993017382483,2.9736632756410515,294699,270,-0.168934755,2.804728521
33,TRUE,--TRuFPvkm5eIpbgEBHLhQ_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.047806789,789.6066864704601,-2.737043354,226951,90,-0.354915175,2.242284191
32,FALSE,,0.016415007,814.8457836407847,0.940426144,177106,90,0.030637547,0.60180678
47,FALSE,,0.01794904,836.4612288,1.0282938300478794,67693,90,-0.376406116,0.18148918
20,TRUE,0Z4Xw54OU4iIRIVfCW7_hw_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.018983119,782.7397254430351,-1.087521999,227111,90,-0.303229819,0.27249153
24,TRUE,hY3S4TisBEhvpm8NPBJSOw_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.051827183,775.1609982937458,2.966824378816935,45238,90,-0.231534902,2.735289476
4,FALSE,,-0.000226133,741.6940416011453,-0.01295648,250595,90,0.47529370748838157,0.488250187
6,FALSE,,0.001703208,819.7616432177864,0.097586564,69334,90,0.4211538431867609,0.4992496
12,FALSE,,0.009328229,769.3299820961029,0.5344526702646967,184746,90,-0.231269718,1.619827602
62,TRUE,Y-9UZN7k7ZwqH0N6twNQOg_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.063498667,937.8077418346322,-3.633327569,107636,90,0.35706488505032574,2.871365819
4,TRUE,4PokefQ0RU15C13vpaA7Ag_Direction_270_FOV_90_aspect_10--10_raw_corrected.png,-0.000509306,791.3472862915625,-0.029181077,208924,270,0.3007138701309085,0.329894947
22,TRUE,K-BADBRC6b5VBTJYxRq_GA_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.046169748,835.8723527382358,-2.643454452,114219,90,0.20547056175562672,2.188587935
53,TRUE,R2QsCe2u-x_i0t7bxCZ9ZA_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.027719084,726.0291525032145,1.587779928602568,202797,90,0.4681717981730287,1.297918232
72,TRUE,DVbW-NSOTTbGBeXpT_iYpg_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.036592631,765.8716610241476,-2.095668251,264545,90,0.0796911,2.6626568
96,FALSE,,0.007570406,799.0999798681346,0.4337440183674241,121254,90,0.18308383754379737,0.616827856
3,TRUE,C79yjN0RE0G2qwiwcXuQiA_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.031161255,822.7858785456981,1.784830813193978,145225,90,0.4541552569528222,2.678090336
7,FALSE,,-0.012860759,809.4395122141854,-0.736826606,118097,90,-0.192075786,0.722948993
59,TRUE,wyE7HedA_BSTNv1E7EHmAw_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.000359539,784.5682379476087,0.020600081,212786,90,-0.130231801,0.176779498
72,FALSE,,-0.001088727,810.0740351949314,-0.062379418,190446,90,0.36310872171145614,1.124924193
41,TRUE,_HiU0wWjj5aRLowA5sMN7A_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.079812947,816.3771139013535,-4.563271901,160944,90,0.17908807884919042,4.418045034
19,FALSE,,0.000820095,591.0157882696129,0.04698796,400450,270,0.4770499780675616,0.524037938
1,TRUE,QU6oQROeIdbtUA1cCQ8JHQ_Direction_270_FOV_90_aspect_10--10_raw_corrected.png,0.025839285,745.8900723051461,1.480152623197888,180841,270,-0.357988525,1.122164099
6,FALSE,,0.001507443,750.3985185939107,0.086370057,301649,90,0.3261337162612735,0.70160585
26,TRUE,T0fvoukD7sTRZsongtnRaw_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.039410165,940.2589748638728,-2.256868206,98418,90,0.33720620320667294,3.230751734
45,TRUE,e36LmZjy6FnnH8uJvtDKFA_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.059449526,765.8725527144503,3.402202614708658,203515,90,-0.401146781,3.601124253
7,FALSE,,-0.001665728,885.5188999,-0.09543912,34929,90,0.41019902923500373,0.557573619
42,TRUE,NaPC644ldDXOybRmrJi0Sw_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.033085057,808.0758702334938,-1.894942943,208233,90,0.32010189034708336,2.474987684
13,TRUE,jC0HZ12CN4_afIfsMOySPw_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.135992182,1052.2539069290988,-7.744270727,52059,90,0.22886308577840264,2.129014808
5,TRUE,F1uZXnOi9XkBZKzIR5NCVQ_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.018354343,819.0764479522002,-1.051508306,191054,90,-0.005510354,1.20651753
24,TRUE,6_t9ydqCDGmqK0mF6m5bCw_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.030063706,861.9579303126324,-1.722004811,163501,90,-0.061483045,1.080162582
68,TRUE,nzPU7OY4dIghpXBPT3R4vg_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.027262131,642.1322633535688,1.5616182331330135,349050,90,0.41358522080976545,2.038237501
90,FALSE,,0.005863991,764.2665681498254,0.3359780846246283,231932,90,0.19301138949282576,0.66514858
19,TRUE,1tFbzD9to7zo4NOY0HKhxQ_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.093624587,809.5883865435228,-5.348701944,236284,90,0.080426038,4.776534736
28,FALSE,,-0.006615547,759.1080259197323,-0.379037374,197813,90,-0.41013609,0.01613017
139,FALSE,,0.009446151,664.0052475053245,0.5412085017895386,329467,90,-0.288045443,0.521424166
32,TRUE,DU1xPNs-JfXl1Ftcr0-FFQ_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.063989643,802.3001404645361,3.661344562306279,165486,90,-0.018790374,4.31639274
32,FALSE,,0.016885394,787.1059636112179,0.9673698993213832,102341,90,-0.436865159,0.113533988
70,FALSE,,0.005466291,712.9829170054746,0.3131922635247383,147905,90,-0.25923714,0.04593442
136,TRUE,BENBP9Yj3umhpQZzXu4uJw_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.067146906,821.6410520710264,-3.841467869,145480,90,0.044581059,2.881612554
83,FALSE,,-0.002654674,735.3988455690619,-0.152101277,216284,270,0.4908101953949925,0.642911472
73,TRUE,u89dqHIkhfVwGCYe_FLBkw_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.067261361,860.6801266819385,-3.847996223,82403,90,0.24982848855059547,3.358444675
2,TRUE,3Gn3szHZDK1YcnrvpIHwbA_Direction_270_FOV_90_aspect_10--10_raw_corrected.png,-0.065062675,604.9729893510062,-3.722569885,369332,270,-0.209754783,3.512815102
29,FALSE,,-0.006788305,786.2897925,-0.388935277,209874,90,0.25321515617800733,0.47571994
41,TRUE,kZRmmvkWo1CrzetHdr6MaA_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.069729201,844.5554021099957,-3.98873266,120579,90,0.14332672871922458,4.46677527
65,FALSE,,0.03343444,672.6336261765562,1.914938991890604,268542,90,-0.179358886,1.456174146
23,FALSE,,-0.000392959,793.4315632421825,-0.022514891,147195,90,0.1508306109445373,0.590260458
89,TRUE,mhXdeDBzxLvD9WV5Cya62A_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.045484562,784.9318231,2.6042784930073246,62503,90,-0.042290767,3.428968352
2,TRUE,nHt51TEteBovPeXmhBYVUQ_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.035962209,891.1788863660018,-2.059595218,127198,90,-0.325535759,2.218129886
49,FALSE,,-0.011323901,697.3969128926631,-0.64878398,308663,270,-0.181951789,0.466832191
77,FALSE,,-0.00306857,785.4441345634336,-0.175815562,134540,90,0.3161789040899754,0.406970433
11,TRUE,0eHBvrMMrSVnM1AdlDwMag_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.080916177,915.5619571626912,-4.6260767,127352,90,0.19084362061143167,4.816920321
49,TRUE,BPOIc0qmYMLkoxvQumyLmQ_Direction_270_FOV_90_aspect_10--10_raw_corrected.png,0.1416533184722769,758.6348441674108,8.062496416134076,114087,270,-0.174495085,7.888001331
16,TRUE,g4EPGS5kPV88-KKplMvz9A_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.040135681,845.8084755667959,-2.298371544,174761,90,-0.359584374,0.919829764
48,FALSE,,0.000497603,894.3645016243509,0.028510551,106264,90,0.11102756292484588,0.208756067
3,TRUE,22T4LODhaAyCvfs6YtYYVw_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.045659236,782.3406531567632,2.614265800103711,176106,90,-0.310631562,2.981883393
34,TRUE,lz_QijOP-K6ARz6FtrHXQg_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,0.1335378883147722,704.2417645574465,7.606158478421746,212685,90,-0.394294587,6.986139606
15,TRUE,gLf-mI2pMha9AGsxiNjg6Q_Direction_90_FOV_90_aspect_10--10_raw_corrected.png,-0.013230305,881.3764117297782,-0.757996415,188731,90,-0.377376413,0.18605552
